country,year,GDP
USA,2023,615 676 947
CHN,2023,395 222 131
DEU,2023,100 515 884
JPN,2023,93 381 830
IND,2023,79 235 323
GBR,2023,75 088 779
FRA,2023,67 781 180
ITA,2023,51 103 903
BRA,2023,48 277 114
CAN,2023,47 584 279
RUS,2023,44 895 771
MEX,2023,39 736 232
AUS,2023,38 380 153
KOR,2023,38 041 129
ESP,2023,35 982 215
IDN,2023,30 453 711
NLD,2023,25 638 365
TUR,2023,24 836 398
SAU,2023,23 711 017
CHE,2023,19 654 526
POL,2023,17 972 347
ARG,2023,14 349 332
BEL,2023,14 320 625
SWE,2023,12 991 972
IRL,2023,12 246 480
THA,2023,11 437 455
ARE,2023,11 418 837
ISR,2023,11 407 303
AUT,2023,11 364 528
SGP,2023,11 136 705
NOR,2023,10 778 753
VEN,2014,10 007 026
BGD,2023,9 714 995
PHL,2023,9 709 021
VNM,2023,9 544 014
DNK,2023,9 041 512
IRN,2023,8 986 736
MYS,2023,8 877 452
EGY,2023,8 795 215
HKG,2023,8 457 840
ZAF,2023,8 455 331
NGA,2023,8 081 027
COL,2023,8 073 198
ROU,2023,7 790 732
CZE,2023,7 622 647
PAK,2023,7 505 032
CHL,2023,7 452 195
FIN,2023,6 563 773
PRT,2023,6 421 228
PER,2023,5 943 468
KAZ,2023,5 833 276
NZL,2023,5 600 818
IRQ,2023,5 571 218
DZA,2023,5 499 777
GRC,2023,5 408 098
QAT,2023,4 730 792
HUN,2023,4 717 158
UKR,2023,3 970 193
KWT,2023,3 635 885
ETH,2023,3 635 731
MAR,2023,3 207 504
SVK,2023,2 951 894
DOM,2023,2 697 277
ECU,2023,2 639 544
PRI,2023,2 618 610
SDN,2023,2 426 787
OMN,2023,2 416 691
KEN,2023,2 399 537
GTM,2023,2 319 839
BGR,2023,2 274 474
UZB,2023,2 256 353
CRI,2023,1 921 119
LUX,2023,1 904 619
AGO,2023,1 883 956
HRV,2023,1 874 386
LKA,2023,1 873 566
PAN,2023,1 850 497
CUB,2023,1 819 355
SRB,2023,1 806 620
LTU,2023,1 772 133
TZA,2023,1 755 976
CIV,2023,1 751 825
URY,2023,1 715 519
GHA,2023,1 696 187
AZE,2023,1 607 031
BLR,2023,1 595 952
SVN,2023,1 535 787
MMR,2023,1 482 687
COD,2023,1 474 373
TKM,2023,1 346 567
JOR,2023,1 131 988
CMR,2023,1 094 496
UGA,2023,1 083 159
TUN,2023,1 077 842
BHR,2023,1 023 434
MAC,2023,1 017 286
BOL,2023,1 002 457
LBY,2023,1 001 592
PRY,2023,954 059
KHM,2023,940 275
LVA,2023,938 325
EST,2023,917 079
NPL,2023,908 568
ZWE,2023,782 489
HND,2023,764 035
SLV,2023,755 487
CYP,2023,752 629
ISL,2023,695 731
SEN,2023,685 141
GEO,2023,683 576
PNG,2023,682 496
ZMB,2023,612 506
BIH,2023,611 103
TTO,2023,607 938
ARM,2023,534 944
SYR,2022,551 829
ALB,2023,522 983
MLT,2023,495 919
GIN,2023,493 049
YEM,2018,469 610
LBN,2022,490 383
MOZ,2023,465 393
MLI,2023,458 898
MNG,2023,451 421
BFA,2023,451 410
HTI,2023,440 887
BEN,2023,437 005
JAM,2023,431 393
BWA,2023,430 787
GAB,2023,430 616
NIC,2023,395 987
PSE,2023,386 916
AFG,2023,382 746
GUY,2023,381 113
NER,2023,373 554
MDA,2023,367 341
LAO,2023,351 876
MDG,2023,350 698
MKD,2023,350 110
COG,2023,340 281
BRN,2023,335 999
MUS,2023,325 255
BHS,2023,318 458
RWA,2023,313 111
KGZ,2023,310 665
TCD,2023,292 047
MWI,2023,282 337
NAM,2023,274 316
GNQ,2023,274 017
TJK,2023,267 866
SSD,2015,295 146
SOM,2023,243 611
MRT,2023,236 574
XKX,2023,232 499
MCO,2023,221 997
NCL,2022,224 801
TGO,2023,203 694
BMU,2023,180 827
IMN,2021,171 964
MNE,2023,167 254
LIE,2022,171 965
CYM,2023,158 567
GUM,2022,161 418
BRB,2023,149 267
MDV,2023,146 384
SLE,2023,142 408
PYF,2022,135 830
FJI,2023,120 868
VIR,2022,109 138
SWZ,2023,98 676
LBR,2023,94 170
DJI,2023,91 028
FRO,2023,86 782
AND,2023,84 066
ABW,2023,81 035
SUR,2023,76 739
GRL,2021,70 159
BLZ,2023,68 115
BTN,2022,67 703
BDI,2023,58 682
CAF,2023,56 757
CPV,2023,56 276
LCA,2023,53 974
GMB,2023,53 218
SYC,2023,47 562
LSO,2023,47 040
TLS,2023,46 195
ERI,2011,36 526
GNB,2023,45 494
ATG,2023,45 155
SMR,2022,42 789
SLB,2023,36 276
COM,2023,30 036
GRD,2023,29 245
VUT,2023,25 015
VCT,2023,23 675
KNA,2023,23 443
WSM,2023,20 837
ASM,2022,20 347
STP,2023,15 080
DMA,2023,14 525
TON,2022,12 105
FSM,2023,10 217
PLW,2023,6 260
KIR,2023,6 201
MHL,2023,5 759
NRU,2023,3 424
TUV,2023,1 383
